-----------------------------------------------------------------------
-                              PREDICTIONS                            -
-----------------------------------------------------------------------
|   INSTANTZIA ZENB    |    REAL     |   PREDICTED   |    ERROR (*)   |
-----------------------------------------------------------------------
|           1          |     NaN     |       1       |       *        |
|           2          |     NaN     |       1       |       *        |
|           3          |     NaN     |       1       |       *        |
|           4          |     NaN     |       1       |       *        |
|           5          |     NaN     |       1       |       *        |
|           6          |     NaN     |       1       |       *        |
|           7          |     NaN     |       1       |       *        |
|           8          |     NaN     |       1       |       *        |
|           9          |     NaN     |       1       |       *        |
|          10          |     NaN     |       1       |       *        |
|          11          |     NaN     |       1       |       *        |
|          12          |     NaN     |       1       |       *        |
|          13          |     NaN     |       1       |       *        |
|          14          |     NaN     |       1       |       *        |
|          15          |     NaN     |       1       |       *        |
|          16          |     NaN     |       1       |       *        |
|          17          |     NaN     |       1       |       *        |
|          18          |     NaN     |       1       |       *        |
|          19          |     NaN     |       1       |       *        |
|          20          |     NaN     |       1       |       *        |
|          21          |     NaN     |       1       |       *        |
|          22          |     NaN     |       1       |       *        |
|          23          |     NaN     |       1       |       *        |
|          24          |     NaN     |       1       |       *        |
|          25          |     NaN     |       1       |       *        |
|          26          |     NaN     |       1       |       *        |
|          27          |     NaN     |       1       |       *        |
|          28          |     NaN     |       0       |       *        |
|          29          |     NaN     |       1       |       *        |
|          30          |     NaN     |       1       |       *        |
|          31          |     NaN     |       1       |       *        |
|          32          |     NaN     |       1       |       *        |
|          33          |     NaN     |       1       |       *        |
|          34          |     NaN     |       1       |       *        |
|          35          |     NaN     |       1       |       *        |
|          36          |     NaN     |       1       |       *        |
|          37          |     NaN     |       1       |       *        |
|          38          |     NaN     |       1       |       *        |
|          39          |     NaN     |       0       |       *        |
|          40          |     NaN     |       1       |       *        |
|          41          |     NaN     |       1       |       *        |
|          42          |     NaN     |       1       |       *        |
|          43          |     NaN     |       1       |       *        |
|          44          |     NaN     |       1       |       *        |
|          45          |     NaN     |       1       |       *        |
|          46          |     NaN     |       1       |       *        |
|          47          |     NaN     |       1       |       *        |
|          48          |     NaN     |       1       |       *        |
|          49          |     NaN     |       0       |       *        |
|          50          |     NaN     |       1       |       *        |
|          51          |     NaN     |       1       |       *        |
|          52          |     NaN     |       1       |       *        |
|          53          |     NaN     |       1       |       *        |
|          54          |     NaN     |       1       |       *        |
|          55          |     NaN     |       1       |       *        |
|          56          |     NaN     |       1       |       *        |
|          57          |     NaN     |       0       |       *        |
|          58          |     NaN     |       1       |       *        |
|          59          |     NaN     |       1       |       *        |
|          60          |     NaN     |       1       |       *        |
|          61          |     NaN     |       1       |       *        |
|          62          |     NaN     |       1       |       *        |
|          63          |     NaN     |       1       |       *        |
|          64          |     NaN     |       1       |       *        |
|          65          |     NaN     |       0       |       *        |
|          66          |     NaN     |       1       |       *        |
|          67          |     NaN     |       1       |       *        |
|          68          |     NaN     |       0       |       *        |
|          69          |     NaN     |       1       |       *        |
|          70          |     NaN     |       1       |       *        |
|          71          |     NaN     |       1       |       *        |
|          72          |     NaN     |       1       |       *        |
|          73          |     NaN     |       1       |       *        |
|          74          |     NaN     |       1       |       *        |
|          75          |     NaN     |       1       |       *        |
|          76          |     NaN     |       1       |       *        |
|          77          |     NaN     |       1       |       *        |
|          78          |     NaN     |       0       |       *        |
|          79          |     NaN     |       1       |       *        |
|          80          |     NaN     |       1       |       *        |
|          81          |     NaN     |       1       |       *        |
|          82          |     NaN     |       1       |       *        |
|          83          |     NaN     |       1       |       *        |
|          84          |     NaN     |       1       |       *        |
|          85          |     NaN     |       1       |       *        |
|          86          |     NaN     |       1       |       *        |
|          87          |     NaN     |       0       |       *        |
|          88          |     NaN     |       1       |       *        |
|          89          |     NaN     |       1       |       *        |
|          90          |     NaN     |       1       |       *        |
|          91          |     NaN     |       1       |       *        |
|          92          |     NaN     |       1       |       *        |
|          93          |     NaN     |       1       |       *        |
|          94          |     NaN     |       1       |       *        |
|          95          |     NaN     |       1       |       *        |
|          96          |     NaN     |       1       |       *        |
|          97          |     NaN     |       1       |       *        |
|          98          |     NaN     |       1       |       *        |
|          99          |     NaN     |       1       |       *        |
|         100          |     NaN     |       1       |       *        |
|         101          |     NaN     |       1       |       *        |
|         102          |     NaN     |       1       |       *        |
|         103          |     NaN     |       0       |       *        |
|         104          |     NaN     |       1       |       *        |
|         105          |     NaN     |       1       |       *        |
|         106          |     NaN     |       1       |       *        |
|         107          |     NaN     |       1       |       *        |
|         108          |     NaN     |       1       |       *        |
|         109          |     NaN     |       1       |       *        |
|         110          |     NaN     |       0       |       *        |
|         111          |     NaN     |       1       |       *        |
|         112          |     NaN     |       1       |       *        |
|         113          |     NaN     |       1       |       *        |
|         114          |     NaN     |       1       |       *        |
|         115          |     NaN     |       1       |       *        |
|         116          |     NaN     |       1       |       *        |
|         117          |     NaN     |       1       |       *        |
|         118          |     NaN     |       1       |       *        |
|         119          |     NaN     |       1       |       *        |
|         120          |     NaN     |       1       |       *        |
|         121          |     NaN     |       1       |       *        |
|         122          |     NaN     |       1       |       *        |
|         123          |     NaN     |       1       |       *        |
|         124          |     NaN     |       1       |       *        |
|         125          |     NaN     |       1       |       *        |
|         126          |     NaN     |       0       |       *        |
|         127          |     NaN     |       1       |       *        |
|         128          |     NaN     |       1       |       *        |
|         129          |     NaN     |       1       |       *        |
|         130          |     NaN     |       1       |       *        |
|         131          |     NaN     |       1       |       *        |
|         132          |     NaN     |       1       |       *        |
|         133          |     NaN     |       1       |       *        |
|         134          |     NaN     |       1       |       *        |
|         135          |     NaN     |       1       |       *        |
|         136          |     NaN     |       1       |       *        |
|         137          |     NaN     |       1       |       *        |
|         138          |     NaN     |       0       |       *        |
|         139          |     NaN     |       1       |       *        |
|         140          |     NaN     |       0       |       *        |
|         141          |     NaN     |       1       |       *        |
|         142          |     NaN     |       1       |       *        |
|         143          |     NaN     |       1       |       *        |
|         144          |     NaN     |       1       |       *        |
|         145          |     NaN     |       1       |       *        |
|         146          |     NaN     |       1       |       *        |
|         147          |     NaN     |       0       |       *        |
|         148          |     NaN     |       1       |       *        |
|         149          |     NaN     |       0       |       *        |
|         150          |     NaN     |       1       |       *        |
|         151          |     NaN     |       1       |       *        |
|         152          |     NaN     |       0       |       *        |
|         153          |     NaN     |       0       |       *        |
|         154          |     NaN     |       1       |       *        |
|         155          |     NaN     |       0       |       *        |
|         156          |     NaN     |       1       |       *        |
|         157          |     NaN     |       1       |       *        |
|         158          |     NaN     |       1       |       *        |
|         159          |     NaN     |       1       |       *        |
|         160          |     NaN     |       0       |       *        |
|         161          |     NaN     |       1       |       *        |
|         162          |     NaN     |       1       |       *        |
|         163          |     NaN     |       1       |       *        |
|         164          |     NaN     |       1       |       *        |
|         165          |     NaN     |       0       |       *        |
|         166          |     NaN     |       0       |       *        |
|         167          |     NaN     |       1       |       *        |
|         168          |     NaN     |       1       |       *        |
|         169          |     NaN     |       1       |       *        |
|         170          |     NaN     |       1       |       *        |
|         171          |     NaN     |       1       |       *        |
|         172          |     NaN     |       1       |       *        |
|         173          |     NaN     |       1       |       *        |
|         174          |     NaN     |       1       |       *        |
|         175          |     NaN     |       1       |       *        |
|         176          |     NaN     |       1       |       *        |
|         177          |     NaN     |       1       |       *        |
|         178          |     NaN     |       1       |       *        |
|         179          |     NaN     |       0       |       *        |
|         180          |     NaN     |       1       |       *        |
|         181          |     NaN     |       1       |       *        |
|         182          |     NaN     |       1       |       *        |
|         183          |     NaN     |       1       |       *        |
|         184          |     NaN     |       1       |       *        |
|         185          |     NaN     |       1       |       *        |
|         186          |     NaN     |       1       |       *        |
|         187          |     NaN     |       1       |       *        |
|         188          |     NaN     |       1       |       *        |
|         189          |     NaN     |       1       |       *        |
|         190          |     NaN     |       1       |       *        |
|         191          |     NaN     |       0       |       *        |
|         192          |     NaN     |       1       |       *        |
|         193          |     NaN     |       1       |       *        |
|         194          |     NaN     |       1       |       *        |
|         195          |     NaN     |       1       |       *        |
|         196          |     NaN     |       1       |       *        |
|         197          |     NaN     |       0       |       *        |
|         198          |     NaN     |       1       |       *        |
|         199          |     NaN     |       1       |       *        |
|         200          |     NaN     |       1       |       *        |
|         201          |     NaN     |       0       |       *        |
|         202          |     NaN     |       1       |       *        |
|         203          |     NaN     |       1       |       *        |
|         204          |     NaN     |       1       |       *        |
|         205          |     NaN     |       0       |       *        |
|         206          |     NaN     |       1       |       *        |
|         207          |     NaN     |       0       |       *        |
|         208          |     NaN     |       1       |       *        |
|         209          |     NaN     |       1       |       *        |
|         210          |     NaN     |       1       |       *        |
|         211          |     NaN     |       1       |       *        |
|         212          |     NaN     |       1       |       *        |
|         213          |     NaN     |       1       |       *        |
|         214          |     NaN     |       0       |       *        |
|         215          |     NaN     |       1       |       *        |
|         216          |     NaN     |       1       |       *        |
|         217          |     NaN     |       1       |       *        |
|         218          |     NaN     |       1       |       *        |
|         219          |     NaN     |       1       |       *        |
|         220          |     NaN     |       1       |       *        |
|         221          |     NaN     |       1       |       *        |
|         222          |     NaN     |       1       |       *        |
|         223          |     NaN     |       1       |       *        |
|         224          |     NaN     |       1       |       *        |
|         225          |     NaN     |       1       |       *        |
|         226          |     NaN     |       1       |       *        |
|         227          |     NaN     |       1       |       *        |
|         228          |     NaN     |       0       |       *        |
|         229          |     NaN     |       1       |       *        |
|         230          |     NaN     |       1       |       *        |
|         231          |     NaN     |       1       |       *        |
|         232          |     NaN     |       1       |       *        |
|         233          |     NaN     |       1       |       *        |
|         234          |     NaN     |       1       |       *        |
|         235          |     NaN     |       1       |       *        |
|         236          |     NaN     |       1       |       *        |
|         237          |     NaN     |       0       |       *        |
|         238          |     NaN     |       1       |       *        |
|         239          |     NaN     |       1       |       *        |
|         240          |     NaN     |       1       |       *        |
|         241          |     NaN     |       1       |       *        |
|         242          |     NaN     |       1       |       *        |
|         243          |     NaN     |       1       |       *        |
|         244          |     NaN     |       1       |       *        |
|         245          |     NaN     |       1       |       *        |
|         246          |     NaN     |       1       |       *        |
|         247          |     NaN     |       1       |       *        |
|         248          |     NaN     |       1       |       *        |
|         249          |     NaN     |       1       |       *        |
|         250          |     NaN     |       1       |       *        |
|         251          |     NaN     |       1       |       *        |
|         252          |     NaN     |       0       |       *        |
|         253          |     NaN     |       1       |       *        |
|         254          |     NaN     |       1       |       *        |
|         255          |     NaN     |       1       |       *        |
|         256          |     NaN     |       1       |       *        |
|         257          |     NaN     |       1       |       *        |
|         258          |     NaN     |       1       |       *        |
|         259          |     NaN     |       0       |       *        |
|         260          |     NaN     |       1       |       *        |
|         261          |     NaN     |       1       |       *        |
|         262          |     NaN     |       1       |       *        |
|         263          |     NaN     |       1       |       *        |
|         264          |     NaN     |       1       |       *        |
|         265          |     NaN     |       1       |       *        |
|         266          |     NaN     |       1       |       *        |
|         267          |     NaN     |       1       |       *        |
|         268          |     NaN     |       0       |       *        |
|         269          |     NaN     |       1       |       *        |
|         270          |     NaN     |       1       |       *        |
|         271          |     NaN     |       1       |       *        |
|         272          |     NaN     |       1       |       *        |
|         273          |     NaN     |       1       |       *        |
|         274          |     NaN     |       1       |       *        |
|         275          |     NaN     |       1       |       *        |
|         276          |     NaN     |       1       |       *        |
|         277          |     NaN     |       1       |       *        |
|         278          |     NaN     |       0       |       *        |
|         279          |     NaN     |       1       |       *        |
|         280          |     NaN     |       0       |       *        |
|         281          |     NaN     |       1       |       *        |
|         282          |     NaN     |       1       |       *        |
|         283          |     NaN     |       1       |       *        |
|         284          |     NaN     |       1       |       *        |
|         285          |     NaN     |       1       |       *        |
|         286          |     NaN     |       1       |       *        |
|         287          |     NaN     |       1       |       *        |
|         288          |     NaN     |       1       |       *        |
|         289          |     NaN     |       1       |       *        |
|         290          |     NaN     |       1       |       *        |
|         291          |     NaN     |       1       |       *        |
|         292          |     NaN     |       1       |       *        |
|         293          |     NaN     |       1       |       *        |
|         294          |     NaN     |       1       |       *        |
|         295          |     NaN     |       1       |       *        |
|         296          |     NaN     |       1       |       *        |
|         297          |     NaN     |       1       |       *        |
|         298          |     NaN     |       1       |       *        |
|         299          |     NaN     |       1       |       *        |
|         300          |     NaN     |       0       |       *        |
|         301          |     NaN     |       1       |       *        |
|         302          |     NaN     |       0       |       *        |
|         303          |     NaN     |       1       |       *        |
|         304          |     NaN     |       1       |       *        |
|         305          |     NaN     |       1       |       *        |
|         306          |     NaN     |       1       |       *        |
|         307          |     NaN     |       1       |       *        |
|         308          |     NaN     |       1       |       *        |
|         309          |     NaN     |       1       |       *        |
|         310          |     NaN     |       0       |       *        |
